#[cstyolo, MCS2, MCS3, WELAN3, WELAN4]
datasets/all/test/images/BloodImage_00067bccd.jpg: [29, 23, 23, 30, 24]
datasets/all/test/images/BloodImage_00227_jpg.rf.d1790b0cdc042312d1e0af86a5c13519bcd.jpg: [21, 20, 17, 23, 26]
datasets/all/test/images/BloodImage_00157bccd.jpg: [17, 15, 10, 17, 18]
datasets/all/test/images/BloodImage_00229bccd.jpg: [31, 24, 28, 29, 29]
datasets/all/test/images/BloodImage_00090_jpg.rf.cdbf8f6ed3b93fa902a0bc991132cb40bcd.jpg: [29, 20, 20, 29, 26]
datasets/all/test/images/BloodImage_00011bccd.jpg: [24, 22, 20, 25, 28]
datasets/all/test/images/BloodImage_00178bccd.jpg: [23, 20, 16, 21, 22]
datasets/all/test/images/BloodImage_00033bccd.jpg: [28, 22, 22, 24, 23]
datasets/all/test/images/BloodImage_00249bccd.jpg: [33, 26, 29, 32, 33]
datasets/all/test/images/BloodImage_00409cbc.jpg: [29, 22, 25, 29, 27]
datasets/all/test/images/BloodImage_00074bccd.jpg: [30, 24, 22, 27, 25]
